identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr,fr-CA,nl,source
ChildVisionHearingOther,parent_survey_child,Hat Ihr Kind andere Seh- oder Hörprobleme (z. B. häufige Ohrentzündung)?,Hat Ihr Kind andere Seh- oder Hörprobleme (z. B. häufige Ohrentzündung)?,,,"¿Tiene su niño(a) algún otro problema de visión o audición (por ejemplo, infecciones de oído frecuentes)?","¿Tiene su niño(a) algún otro problema de visión o audición (por ejemplo, infecciones de oído frecuentes)?","¿Tiene su niño(a) algún otro problema de visión o audición (por ejemplo, infecciones de oído frecuentes)?","Votre enfant a-t-il d'autres problèmes de vision ou d'audition (par exemple, infections fréquentes de l'oreille, myopie ou hypermétropie) ?","Votre enfant a-t-il d'autres problèmes de vision ou d'audition (par exemple, infections fréquentes de l'oreille, myopie ou hypermétropie) ?",Heeft uw kind andere zicht- of gehoorproblemen (bv. frequente oorinfecties; bijziend of verziend)?,"Does your child have any other vision or hearing issues (e.g., frequent ear infections; nearsighted or farsighted)?"
ChildVisionHearingOther,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildVisionHearingOther,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildVisionHearingExp,parent_survey_child,"Wenn ja, beschreiben Sie diese bitte:", beschreiben Sie diese bitte:", beschreiben Sie diese bitte:","If yes, please explain:","If yes, please explain:","En caso afirmativo, explíquelo:","En caso afirmativo, explíquelo:","En caso afirmativo, explíquelo:","Si oui, veuillez expliquer :","Si oui, veuillez expliquer :","Zo ja, graag toelichten:","If yes, please explain:"
ChildGenetic,parent_survey_child,"Hat Ihnen ein Arzt oder ein anderer Gesundheitsdienstleister <b>JEMALS</b> gesagt, dass Ihr Kind eine genetische oder vererbte Erkrankung hat?", dass Ihr Kind eine genetische oder vererbte Erkrankung hat?", dass Ihr Kind eine genetische oder vererbte Erkrankung hat?",,,¿<b>ALGUNA VEZ</b> su médico o algún otro profesional de la salud le ha dicho que su niño(a) tiene un trastorno genético o hereditario?,¿<b>ALGUNA VEZ</b> su médico o algún otro profesional de la salud le ha dicho que su niño(a) tiene un trastorno genético o hereditario?,¿<b>ALGUNA VEZ</b> su médico o algún otro profesional de la salud le ha dicho que su niño(a) tiene un trastorno genético o hereditario?,Un médecin ou un autre prestataire de soins de santé vous a-t-il <b>JAMAIS</b> dit que votre enfant avait une affection génétique ou héréditaire ?,Un médecin ou un autre prestataire de soins de santé vous a-t-il <b>JAMAIS</b> dit que votre enfant avait une affection génétique ou héréditaire ?,Heeft een arts of andere zorgverlener u <b>OOIT</b> verteld dat uw kind een genetische of erfelijke aandoening heeft?,Has a doctor or other health care provider <b>EVER</b> told you that your child has a genetic or inherited condition?
ChildGenetic,parent_survey_child,Nein,,,,No,,,,,,
ChildGenetic,parent_survey_child,Nein,,,,No,,,,,,
ChildGenetic,parent_survey_child,weiß nicht,weiß nicht,,,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildGenetic,parent_survey_child,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefer not to respond,Prefer not to respond,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond
ChildGeneticExp,parent_survey_child,"Wenn ja, benennen oder beschreiben Sie diese bitte:", benennen oder beschreiben Sie diese bitte:", benennen oder beschreiben Sie diese bitte:","If yes, please note or explain the condition:","If yes, please note or explain the condition:","En caso afirmativo, indique el trastorno:","En caso afirmativo, indique el trastorno:","En caso afirmativo, indique el trastorno:","Si oui, veuillez noter ou expliquer la condition :","Si oui, veuillez noter ou expliquer la condition :","Als het antwoord ja is, graag de aandoening vermelden of toelichten:","If yes, please note or explain the condition:"
ChildHealthConditions,parent_survey_child,"Hat Ihnen ein Arzt, ein anderer Gesundheitsdienstleister oder ein Pädagoge <b>JEMALS</b> gesagt,"Hat Ihnen ein Arzt,"Hat Ihnen ein Arzt, ein anderer Gesundheitsdienstleister oder ein Pädagoge <b>JEMALS</b> gesagt, dass Ihr Kind eines der folgenden Probleme hat:","Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:","Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","Un médecin, un autre prestataire de soins de santé ou un éducateur vous a-t-il <b>JAMAIS</b> dit que votre enfant avait l’une des affections suivantes :","Un médecin, un autre prestataire de soins de santé ou un éducateur vous a-t-il <b>JAMAIS</b> dit que votre enfant avait l’une des affections suivantes :","Heeft een arts of andere zorgverlener, of opvoeder u <b>OOIT</b> verteld dat uw kind een van de volgende aandoeningen heeft:","Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:"
ChildConduct,parent_survey_child,Verhaltens- oder Benehmensprobleme,Verhaltens- oder Benehmensprobleme,,,Problemas de comportamiento o conducta,Problemas de comportamiento o conducta,Problemas de comportamiento o conducta,Problèmes de comportement ou de conduite,Problèmes de comportement ou de conduite,Gedrags- of opvoedingsproblemen,Behavioral or Conduct Problems
ChildConduct,parent_survey_child,Nein,Nein,,,No,No,No,Non,Non,Nee,No
ChildConduct,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildConduct,parent_survey_child,weiß nicht,weiß nicht,,,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildConduct,parent_survey_child,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefer not to respond,Prefer not to respond,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond
ChildConductCurrent,parent_survey_child,Hat Ihr Kind <b>AKTUELL</b> Verhaltens- oder Benehmensprobleme?,Hat Ihr Kind <b>AKTUELL</b> Verhaltens- oder Benehmensprobleme?,,,¿<b>ACTUALMENTE</b> su niño(a) tiene problemas de comportamiento o conducta?,¿<b>ACTUALMENTE</b> su niño(a) tiene problemas de comportamiento o conducta?,¿<b>ACTUALMENTE</b> su niño(a) tiene problemas de comportamiento o conducta?,Votre enfant a-t-il <b>ACTUELLEMENT</b> des problèmes de comportement ou de conduite ?,Votre enfant a-t-il <b>ACTUELLEMENT</b> des problèmes de comportement ou de conduite ?,Heeft uw kind op dit moment gedrags- of opvoedingsproblemen?,Does your child <b>CURRENTLY</b > have Behavioral or Conduct Problems?
ChildConductCurrent,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildConductCurrent,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildConductLevel,parent_survey_child,"Sind die aktuellen Verhaltens- oder Benehmensprobleme leicht, mäßig oder schwerwiegend?", mäßig oder schwerwiegend?", mäßig oder schwerwiegend?",,,"¿Los problemas de comportamiento o conducta actuales son leves, moderados o severos?","¿Los problemas de comportamiento o conducta actuales son leves, moderados o severos?","¿Los problemas de comportamiento o conducta actuales son leves, moderados o severos?","Les problèmes actuels de comportement ou de conduite sont-ils légers, modérés ou sévères ?","Les problèmes actuels de comportement ou de conduite sont-ils légers, modérés ou sévères ?","Zijn de huidige gedrags- of opvoedingsproblemen mild, matig of ernstig?","Are the current Behavioral or Conduct Problems, Mild, Moderate, or Severe?"
ChildConductLevel,parent_survey_child,leicht,leicht,,,Leve,Mild,Leve,Légers,Légers,Mild,Mild
ChildConductLevel,parent_survey_child,mäßig,mäßig,,,Moderado,Moderado,Moderado,Modérés,Modérés,Matig,Moderate
ChildConductLevel,parent_survey_child,schwerwiegend,schwerwiegend,Severe,Severe,Severo,Severo,Severo,Sévères,Sévères,Ernstig,Severe
ChildDevDelay,parent_survey_child,Entwicklungsverzögerung,Entwicklungsverzögerung,,,Atraso en el desarrollo,Atraso en el desarrollo,Atraso en el desarrollo,Retard de développement,Retard de développement,Ontwikkelingsachterstand,Developmental Delay
ChildDevDelay,parent_survey_child,Nein,,,,No,,,,,,
ChildDevDelay,parent_survey_child,Nein,,,,No,,,,,,
ChildDevDelay,parent_survey_child,weiß nicht,weiß nicht,,,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildDevDelay,parent_survey_child,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefer not to respond,Prefer not to respond,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond
ChildDevDelayCurrent,parent_survey_child,Hat Ihr Kind <b>AKTUELL</b> eine Entwicklungsverzögerung?,Hat Ihr Kind <b>AKTUELL</b> eine Entwicklungsverzögerung?,,,¿<b>ACTUALMENTE</b> su niño(a) tiene un atraso en su desarrollo?,¿<b>ACTUALMENTE</b> su niño(a) tiene un atraso en su desarrollo?,¿<b>ACTUALMENTE</b> su niño(a) tiene un atraso en su desarrollo?,Votre enfant a-t-il <b>ACTUELLEMENT</b> un retard de développement ?,Votre enfant a-t-il <b>ACTUELLEMENT</b> un retard de développement ?,Heeft uw kind momenteel een ontwikkelingsachterstand?,Does your child <b>CURRENTLY</b > have Developmental Delay?
ChildDevDelayCurrent,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildDevDelayCurrent,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildDevDelayLevel,parent_survey_child,"Sind die aktuellen Entwicklungsverzögerungen leicht, mäßig oder schwerwiegend?", mäßig oder schwerwiegend?", mäßig oder schwerwiegend?",,,"¿Los atrasos actuales del desarrollo son leves, moderados o severos?","¿Los atrasos actuales del desarrollo son leves, moderados o severos?","¿Los atrasos actuales del desarrollo son leves, moderados o severos?","Les retards de développement actuels sont-ils légers, modérés ou sévères ?","Les retards de développement actuels sont-ils légers, modérés ou sévères ?","Zijn de huidige ontwikkelingsachterstanden mild, matig of ernstig?","Are the current Developmental Delays, Mild, Moderate, or Severe?"
ChildDevDelayLevel,parent_survey_child,leicht,leicht,,,Leve,Leve,Leve,Légers,Légers,Mild,Mild
ChildDevDelayLevel,parent_survey_child,mäßig,mäßig,,,Moderado,Moderado,Moderado,Modérés,Modérés,Matig,Moderate
ChildDevDelayLevel,parent_survey_child,schwerwiegend,schwerwiegend,Severe,Severe,Severo,Severo,Severo,Sévères,Sévères,Ernstig,Severe
ChildIntellDis,parent_survey_child,Geistige Behinderung,Geistige Behinderung,,,Discapacidad intelectual,Discapacidad intelectual,Discapacidad intelectual,Déficience intellectuelle,Déficience intellectuelle,Verstandelijke beperking,Intellectual Disability
ChildIntellDis,parent_survey_child,Nein,,,,No,,,,,,
ChildIntellDis,parent_survey_child,Nein,,,,No,,,,,,
ChildIntellDis,parent_survey_child,weiß nicht,weiß nicht,,,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildIntellDis,parent_survey_child,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefer not to respond,Prefer not to respond,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond
ChildIntellDisCurrent,parent_survey_child,Hat Ihr Kind <b>AKTUELL</b> eine geistige Behinderung?,Hat Ihr Kind <b>AKTUELL</b> eine geistige Behinderung?,,,¿<b>ACTUALMENTE</b> su niño(a) tiene de discapacidad intelectual?,¿<b>ACTUALMENTE</b> su niño(a) tiene de discapacidad intelectual?,¿<b>ACTUALMENTE</b> su niño(a) tiene de discapacidad intelectual?,Votre enfant a-t-il <b>ACTUELLEMENT</b> une déficience intellectuelle ?,Votre enfant a-t-il <b>ACTUELLEMENT</b> une déficience intellectuelle ?,Heeft uw kind momenteel een verstandelijke beperking?,Does your child <b>CURRENTLY</b > have an Intellectual Disability?
ChildIntellDisCurrent,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildIntellDisCurrent,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildIntellDisLevel,parent_survey_child,"Ist die aktuelle geistige Behinderung leicht, mäßig oder schwerwiegend?", mäßig oder schwerwiegend?", mäßig oder schwerwiegend?",,,"¿La discapacidad intelectual actual es leve, moderada o severa?","¿La discapacidad intelectual actual es leve, moderada o severa?","¿La discapacidad intelectual actual es leve, moderada o severa?","La déficience intellectuelle actuelle est-elle légère, modérée ou sévère ?","La déficience intellectuelle actuelle est-elle légère, modérée ou sévère ?","Is de huidige verstandelijke beperking mild, matig of ernstig?","Is the current Intellectual Disability, Mild, Moderate, or Severe?"
ChildIntellDisLevel,parent_survey_child,leicht,leicht,,,Leve,Leve,Leve,Légers,Légers,Mild,Mild
ChildIntellDisLevel,parent_survey_child,mäßig,mäßig,,,Moderada,Moderada,Moderada,Modérés,Modérés,Matig,Moderate
ChildIntellDisLevel,parent_survey_child,schwerwiegend,schwerwiegend,Severe,Severe,Severa,Severa,Severa,Sévères,Sévères,Ernstig,Severe
ChildSpeechLang,parent_survey_child,Sprech- oder andere Sprachstörung,Sprech- oder andere Sprachstörung,,,Trastorno del habla u otro trastorno del lenguaje,Trastorno del habla u otro trastorno del lenguaje,Trastorno del habla u otro trastorno del lenguaje,Trouble de la parole ou autre trouble du langage,Trouble de la parole ou autre trouble du langage,Spraak- of andere taalstoornis,Speech or other language disorder
ChildSpeechLang,parent_survey_child,Nein,,,,No,,,,,,
ChildSpeechLang,parent_survey_child,Nein,,,,No,,,,,,
ChildSpeechLang,parent_survey_child,weiß nicht,weiß nicht,,,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildSpeechLang,parent_survey_child,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefer not to respond,Prefer not to respond,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond
ChildSpeechLangCurrent,parent_survey_child,Hat Ihr Kind <b>AKTUELL</b> eine Sprech- oder andere Sprachstörung?,Hat Ihr Kind <b>AKTUELL</b> eine Sprech- oder andere Sprachstörung?,,,¿<b>ACTUALMENTE</b> su niño(a) tiene un trastorno del habla u otro trastorno del lenguaje?,¿<b>ACTUALMENTE</b> su niño(a) tiene un trastorno del habla u otro trastorno del lenguaje?,¿<b>ACTUALMENTE</b> su niño(a) tiene un trastorno del habla u otro trastorno del lenguaje?,Votre enfant a-t-il <b>ACTUELLEMENT</b> un trouble de la parole ou autre trouble du langage ?,Votre enfant a-t-il <b>ACTUELLEMENT</b> un trouble de la parole ou autre trouble du langage ?,Heeft uw kind momenteel een spraak- of andere taalstoornis?,Does your child <b>CURRENTLY</b > have a Speech or other language disorder?
