identifier,labels,source,en-US,de,de_CH,es,es_AR,es_CO,fr,fr_CA,nl,en,es-CO,fr-CA,de-CH,es-AR,en-GH
ChildEFQ11,parent_survey_child,<b>Answers questions or tells a story without getting distracted by small details and/or losing train of thought.</b>,<b>Answers questions or tells a story without getting distracted by small details and/or losing train of thought.</b>,"<b>Beantwortet Fragen oder erzählt eine Geschichte, ohne sich von kleinen Details ablenken zu lassen und/oder den Gedankengang zu verlieren.</b>","<b>Beantwortet Fragen oder erzählt eine Geschichte, ohne sich von kleinen Details ablenken zu lassen und/oder den Gedankengang zu verlieren.</b>",<b>Responde a preguntas o cuenta una historia sin distraerse con pequeños detalles ni perder el hilo de sus pensamientos.</b>,<b>Responde a preguntas o cuenta una historia sin distraerse con pequeños detalles ni perder el hilo de sus pensamientos.</b>,<b>Responde a preguntas o cuenta una historia sin distraerse con pequeños detalles ni perder el hilo de sus pensamientos.</b>,<b>Répond aux questions ou raconte une histoire sans se laisser distraire par de petits détails et/ou perdre le fil de ses pensées.</b>,<b>Répond aux questions ou raconte une histoire sans se laisser distraire par de petits détails et/ou perdre le fil de ses pensées.</b>,<b>Beantwoordt vragen of vertelt een verhaal zonder zich te laten afleiden door kleine details en/of zijn gedachtegang te verliezen.</b>,<b>Answers questions or tells a story without getting distracted by small details and/or losing train of thought.</b>,<b>Responde a preguntas o cuenta una historia sin distraerse con pequeños detalles ni perder el hilo de sus pensamientos.</b>,<b>Répond aux questions ou raconte une histoire sans se laisser distraire par de petits détails et/ou perdre le fil de ses pensées.</b>,"<b>Beantwortet Fragen oder erzählt eine Geschichte, ohne sich von kleinen Details ablenken zu lassen und/oder den Gedankengang zu verlieren.</b>",<b>Responde a preguntas o cuenta una historia sin distraerse con pequeños detalles ni perder el hilo de sus pensamientos.</b>,<b>Answers questions or tells a story without getting distracted by small details and/or losing train of thought.</b>
ChildEFQ16,parent_survey_child,"<b>Stops and thinks before acting</b> (e.g., does not run out in front of a car, does not grab things they shouldn't).","<b>Stops and thinks before acting</b> (e.g., does not run out in front of a car, does not grab things they shouldn't).","<b>Hält inne und denkt nach, bevor es handelt</b> (es rennt z. B. nicht vor ein Auto, greift nicht nach Dingen, die es nicht anfassen sollte).","<b>Hält inne und denkt nach, bevor es handelt</b> (es rennt z. B. nicht vor ein Auto, greift nicht nach Dingen, die es nicht anfassen sollte).","<b>Se detiene y piensa antes de actuar</b> (p. ej., no se lanza corriendo delante de un vehículo, no toma un objeto que no debería).","<b>Se detiene y piensa antes de actuar</b> (p. ej., no se lanza corriendo delante de un vehículo, no toma un objeto que no debería).","<b>Se detiene y piensa antes de actuar</b> (p. ej., no se lanza corriendo delante de un vehículo, no toma un objeto que no debería).","<b>S'arrête et réfléchit avant d'agir</b> (par exemple, ne court pas devant une voiture, ne tend pas la main vers des objets qu'il ne devrait pas toucher).","<b>S'arrête et réfléchit avant d'agir</b> (par exemple, ne court pas devant une voiture, ne tend pas la main vers des objets qu'il ne devrait pas toucher).","<b>Stopt en denkt na voordat hij handelt</b> (bijv., rent niet zomaar de straat op, pakt geen dingen die hij niet mag pakken).","<b>Stops and thinks before acting</b> (e.g., does not run out in front of a car, does not grab things they shouldn't).","<b>Se detiene y piensa antes de actuar</b> (p. ej., no se lanza corriendo delante de un vehículo, no toma un objeto que no debería).","<b>S'arrête et réfléchit avant d'agir</b> (par exemple, ne court pas devant une voiture, ne tend pas la main vers des objets qu'il ne devrait pas toucher).","<b>Hält inne und denkt nach, bevor es handelt</b> (es rennt z. B. nicht vor ein Auto, greift nicht nach Dingen, die es nicht anfassen sollte).","<b>Se detiene y piensa antes de actuar</b> (p. ej., no se lanza corriendo delante de un vehículo, no toma un objeto que no debería).","<b>Stops and thinks before acting</b> (e.g., does not run out in front of a car, does not grab things they shouldn't)."
ChildEFQ21,parent_survey_child,"<b>Remembers and considers all options when making a choice</b> (e.g., what to do when they get stuck on a household task or face a problem, food options).","<b>Remembers and considers all options when making a choice</b> (e.g., what to do when they get stuck on a household task or face a problem, food options).","<b>Erinnert sich an alle Optionen und zieht sie in Betracht, wenn es eine Entscheidung trifft</b> (z. B. was zu tun ist, wenn es mit einer Haushaltsaufgabe oder einem Problem nicht weiterkommt, welche Lebensmittel es essen möchte).","<b>Erinnert sich an alle Optionen und zieht sie in Betracht, wenn es eine Entscheidung trifft</b> (z. B. was zu tun ist, wenn es mit einer Haushaltsaufgabe oder einem Problem nicht weiterkommt, welche Lebensmittel es essen möchte).","<b>Recuerda y considera todas las opciones a la hora de elegir</b> (p. ej., qué hacer cuando se complica una tarea doméstica o se enfrenta a un problema, qué comida elegir).","<b>Recuerda y considera todas las opciones a la hora de elegir</b> (p. ej., qué hacer cuando se complica una tarea doméstica o se enfrenta a un problema, qué comida elegir).","<b>Recuerda y considera todas las opciones a la hora de elegir</b> (p. ej., qué hacer cuando se complica una tarea doméstica o se enfrenta a un problema, qué comida elegir).","<b>Se souvient et considère toutes les options lors du choix</b> (par exemple, que faire lorsqu'on est coincé sur une tâche ménagère ou qu'on est confronté à un problème, options alimentaires).","<b>Se souvient et considère toutes les options lors du choix</b> (par exemple, que faire lorsqu'on est coincé sur une tâche ménagère ou qu'on est confronté à un problème, options alimentaires).","<b>Herinnert zich en overweegt alle opties bij het maken van een keuze</b> (bijv., wat te doen wanneer ze vastlopen op een huishoudelijke taak of een probleem onder ogen zien, voedselopties).","<b>Remembers and considers all options when making a choice</b> (e.g., what to do when they get stuck on a household task or face a problem, food options).","<b>Recuerda y considera todas las opciones a la hora de elegir</b> (p. ej., qué hacer cuando se complica una tarea doméstica o se enfrenta a un problema, qué comida elegir).","<b>Se souvient et considère toutes les options lors du choix</b> (par exemple, que faire lorsqu'on est coincé sur une tâche ménagère ou qu'on est confronté à un problème, options alimentaires).","<b>Erinnert sich an alle Optionen und zieht sie in Betracht, wenn es eine Entscheidung trifft</b> (z. B. was zu tun ist, wenn es mit einer Haushaltsaufgabe oder einem Problem nicht weiterkommt, welche Lebensmittel es essen möchte).","<b>Recuerda y considera todas las opciones a la hora de elegir</b> (p. ej., qué hacer cuando se complica una tarea doméstica o se enfrenta a un problema, qué comida elegir).","<b>Remembers and considers all options when making a choice</b> (e.g., what to do when they get stuck on a household task or face a problem, food options)."
ChildEFQ27,parent_survey_child,"<b>Connects ideas/experiences to other ideas/experiences</b> (e.g., identifies connections between books/movies and lived experiences, uses strategies learned at school to complete activities at home).","<b>Connects ideas/experiences to other ideas/experiences</b> (e.g., identifies connections between books/movies and lived experiences, uses strategies learned at school to complete activities at home).","<b>Verbindet Ideen/Erfahrungen mit anderen Ideen/Erfahrungen</b> (es erkennt z. B. Verbindungen zwischen Büchern/Filmen und gelebten Erfahrungen, verwendet in der Schule erlernte Strategien, um Aktivitäten zu Hause durchzuführen).","<b>Verbindet Ideen/Erfahrungen mit anderen Ideen/Erfahrungen</b> (es erkennt z. B. Verbindungen zwischen Büchern/Filmen und gelebten Erfahrungen, verwendet in der Schule erlernte Strategien, um Aktivitäten zu Hause durchzuführen).","<b>Conecta unas ideas y experiencias con otras ideas y experiencias</b> (p. ej., identifica las conexiones entre libros o películas y experiencias vividas, utiliza estrategias aprendidas en la escuela para completar actividades en casa).","<b>Conecta unas ideas y experiencias con otras ideas y experiencias</b> (p. ej., identifica las conexiones entre libros o películas y experiencias vividas, utiliza estrategias aprendidas en la escuela para completar actividades en casa).","<b>Conecta unas ideas y experiencias con otras ideas y experiencias</b> (p. ej., identifica las conexiones entre libros o películas y experiencias vividas, utiliza estrategias aprendidas en la escuela para completar actividades en casa).","<b>Relie des idées/expériences à d'autres idées/expériences</b> (par exemple, identifie des liens entre livres/films et expériences vécues, utilise des stratégies apprises à l'école pour réaliser des activités à la maison).","<b>Relie des idées/expériences à d'autres idées/expériences</b> (par exemple, identifie des liens entre livres/films et expériences vécues, utilise des stratégies apprises à l'école pour réaliser des activités à la maison).","<b>Verbindt ideeën/ervaringen met andere ideeën/ervaringen</b> (bijv., identificeert verbanden tussen boeken/films en geleefde ervaringen, gebruikt strategieën geleerd op school om activiteiten thuis af te ronden).","<b>Connects ideas/experiences to other ideas/experiences</b> (e.g., identifies connections between books/movies and lived experiences, uses strategies learned at school to complete activities at home).","<b>Conecta unas ideas y experiencias con otras ideas y experiencias</b> (p. ej., identifica las conexiones entre libros o películas y experiencias vividas, utiliza estrategias aprendidas en la escuela para completar actividades en casa).","<b>Relie des idées/expériences à d'autres idées/expériences</b> (par exemple, identifie des liens entre livres/films et expériences vécues, utilise des stratégies apprises à l'école pour réaliser des activités à la maison).","<b>Verbindet Ideen/Erfahrungen mit anderen Ideen/Erfahrungen</b> (es erkennt z. B. Verbindungen zwischen Büchern/Filmen und gelebten Erfahrungen, verwendet in der Schule erlernte Strategien, um Aktivitäten zu Hause durchzuführen).","<b>Conecta unas ideas y experiencias con otras ideas y experiencias</b> (p. ej., identifica las conexiones entre libros o películas y experiencias vividas, utiliza estrategias aprendidas en la escuela para completar actividades en casa).","<b>Connects ideas/experiences to other ideas/experiences</b> (e.g., identifies connections between books/movies and lived experiences, uses strategies learned at school to complete activities at home)."
ChildEFQ33,parent_survey_child,"<b>Begins plans or routines without prompting</b> (e.g., takes an initiative to help a family member, starts daily household chores on their own).","<b>Begins plans or routines without prompting</b> (e.g., takes an initiative to help a family member, starts daily household chores on their own).","<b>Beginnt ohne Aufforderung mit Plänen oder Routinen</b> (z. B. ergreift es die Initiative, um einem Familienmitglied zu helfen, beginnt selbstständig mit der täglichen Hausarbeit).","<b>Beginnt ohne Aufforderung mit Plänen oder Routinen</b> (z. B. ergreift es die Initiative, um einem Familienmitglied zu helfen, beginnt selbstständig mit der täglichen Hausarbeit).","<b>Inicia actividades o rutinas sin que nadie se lo pida</b> (p. ej., toma la iniciativa de ayudar a un miembro de la familia, empieza las tareas domésticas diarias por su cuenta).","<b>Inicia actividades o rutinas sin que nadie se lo pida</b> (p. ej., toma la iniciativa de ayudar a un miembro de la familia, empieza las tareas domésticas diarias por su cuenta).","<b>Inicia actividades o rutinas sin que nadie se lo pida</b> (p. ej., toma la iniciativa de ayudar a un miembro de la familia, empieza las tareas domésticas diarias por su cuenta).","<b>Démarre des plans ou des routines sans qu'on le lui demande</b> (par exemple, prend l'initiative d'aider un membre de la famille, commence les tâches ménagères quotidiennes de sa propre initiative).","<b>Démarre des plans ou des routines sans qu'on le lui demande</b> (par exemple, prend l'initiative d'aider un membre de la famille, commence les tâches ménagères quotidiennes de sa propre initiative).","<b>Begint met plannen of routines zonder aansporing</b> (bijv., neemt het initiatief om een familielid te helpen, begint uit zichzelf aan dagelijkse huishoudelijke taken).","<b>Begins plans or routines without prompting</b> (e.g., takes an initiative to help a family member, starts daily household chores on their own).","<b>Inicia actividades o rutinas sin que nadie se lo pida</b> (p. ej., toma la iniciativa de ayudar a un miembro de la familia, empieza las tareas domésticas diarias por su cuenta).","<b>Démarre des plans ou des routines sans qu'on le lui demande</b> (par exemple, prend l'initiative d'aider un membre de la famille, commence les tâches ménagères quotidiennes de sa propre initiative).","<b>Beginnt ohne Aufforderung mit Plänen oder Routinen</b> (z. B. ergreift es die Initiative, um einem Familienmitglied zu helfen, beginnt selbstständig mit der täglichen Hausarbeit).","<b>Inicia actividades o rutinas sin que nadie se lo pida</b> (p. ej., toma la iniciativa de ayudar a un miembro de la familia, empieza las tareas domésticas diarias por su cuenta).","<b>Begins plans or routines without prompting</b> (e.g., takes an initiative to help a family member, starts daily household chores on their own)."
ChildEFQ6,parent_survey_child,"<b>Gets deeply engaged in an activity they choose for themselves</b> (e.g., drawing, reading, cooking, building, sports, games).","<b>Gets deeply engaged in an activity they choose for themselves</b> (e.g., drawing, reading, cooking, building, sports, games).","<b>Beschäftigt sich intensiv mit einer selbst gewählten Tätigkeit</b> (z. B. Malen, Lesen, Kochen, Bauen, Sport, Spiele).","<b>Beschäftigt sich intensiv mit einer selbst gewählten Tätigkeit</b> (z. B. Malen, Lesen, Kochen, Bauen, Sport, Spiele).","<b>Se involucra profundamente en una actividad elegida por él/ella</b> (p. ej., dibujar, leer, cocinar, construir, hacer deporte, jugar).","<b>Se involucra profundamente en una actividad elegida por él/ella</b> (p. ej., dibujar, leer, cocinar, construir, hacer deporte, jugar).","<b>Se involucra profundamente en una actividad elegida por él/ella</b> (p. ej., dibujar, leer, cocinar, construir, hacer deporte, jugar).","<b>S'engage profondément dans une activité qu'il choisit lui-même</b> (par exemple, dessiner, lire, cuisiner, construire, faire du sport, jouer).","<b>S'engage profondément dans une activité qu'il choisit lui-même</b> (par exemple, dessiner, lire, cuisiner, construire, faire du sport, jouer).","<b>Raakt diep betrokken bij een activiteit die ze voor zichzelf kiezen</b> (bijv., tekenen, lezen, koken, bouwen, sporten, spelletjes).","<b>Gets deeply engaged in an activity they choose for themselves</b> (e.g., drawing, reading, cooking, building, sports, games).","<b>Se involucra profundamente en una actividad elegida por él/ella</b> (p. ej., dibujar, leer, cocinar, construir, hacer deporte, jugar).","<b>S'engage profondément dans une activité qu'il choisit lui-même</b> (par exemple, dessiner, lire, cuisiner, construire, faire du sport, jouer).","<b>Beschäftigt sich intensiv mit einer selbst gewählten Tätigkeit</b> (z. B. Malen, Lesen, Kochen, Bauen, Sport, Spiele).","<b>Se involucra profundamente en una actividad elegida por él/ella</b> (p. ej., dibujar, leer, cocinar, construir, hacer deporte, jugar).","<b>Gets deeply engaged in an activity they choose for themselves</b> (e.g., drawing, reading, cooking, building, sports, games)."
ChildEFQ22,parent_survey_child,"<b>Remembers physical directions, patterns, and where things are</b> (e.g., knows walking routes, finds things in a grocery store, good at searching for a lost item or playing hide-and-seek).","<b>Remembers physical directions, patterns, and where things are</b> (e.g., knows walking routes, finds things in a grocery store, good at searching for a lost item or playing hide-and-seek).","<b>Erinnert sich an Wegangaben, Muster und den Standort von Dingen</b> (z. B. kennt es Laufwege, findet Dinge in einem Lebensmittelgeschäft, kann gut nach einem verlorenen Gegenstand suchen oder Verstecken spielen).","<b>Erinnert sich an Wegangaben, Muster und den Standort von Dingen</b> (z. B. kennt es Laufwege, findet Dinge in einem Lebensmittelgeschäft, kann gut nach einem verlorenen Gegenstand suchen oder Verstecken spielen).","<b>Recuerda direcciones, patrones y ubicación de las cosas</b> (p. ej., conoce las rutas para caminar, encuentra las cosas en una tienda de comestibles, es hábil buscando un objeto perdido o jugando al escondite).","<b>Recuerda direcciones, patrones y ubicación de las cosas</b> (p. ej., conoce las rutas para caminar, encuentra las cosas en una tienda de comestibles, es hábil buscando un objeto perdido o jugando al escondite).","<b>Recuerda direcciones, patrones y ubicación de las cosas</b> (p. ej., conoce las rutas para caminar, encuentra las cosas en una tienda de comestibles, es hábil buscando un objeto perdido o jugando al escondite).","<b>Se souvient des directions, des motifs, et des endroits où se trouvent les choses</b> (par exemple, connaît les itinéraires de marche, trouve les choses dans un magasin, excellent pour rechercher un objet perdu ou jouer à cache-cache).","<b>Se souvient des directions, des motifs, et des endroits où se trouvent les choses</b> (par exemple, connaît les itinéraires de marche, trouve les choses dans un magasin, excellent pour rechercher un objet perdu ou jouer à cache-cache).","<b>Herinnert zich fysieke richtingen, patronen, en waar dingen zijn</b> (bijv., weet wandelroutes, vindt dingen in een supermarkt, goed in het zoeken naar een verloren voorwerp of verstoppertje spelen).","<b>Remembers physical directions, patterns, and where things are</b> (e.g., knows walking routes, finds things in a grocery store, good at searching for a lost item or playing hide-and-seek).","<b>Recuerda direcciones, patrones y ubicación de las cosas</b> (p. ej., conoce las rutas para caminar, encuentra las cosas en una tienda de comestibles, es hábil buscando un objeto perdido o jugando al escondite).","<b>Se souvient des directions, des motifs, et des endroits où se trouvent les choses</b> (par exemple, connaît les itinéraires de marche, trouve les choses dans un magasin, excellent pour rechercher un objet perdu ou jouer à cache-cache).","<b>Erinnert sich an Wegangaben, Muster und den Standort von Dingen</b> (z. B. kennt es Laufwege, findet Dinge in einem Lebensmittelgeschäft, kann gut nach einem verlorenen Gegenstand suchen oder Verstecken spielen).","<b>Recuerda direcciones, patrones y ubicación de las cosas</b> (p. ej., conoce las rutas para caminar, encuentra las cosas en una tienda de comestibles, es hábil buscando un objeto perdido o jugando al escondite).","<b>Remembers physical directions, patterns, and where things are</b> (e.g., knows walking routes, finds things in a grocery store, good at searching for a lost item or playing hide-and-seek)."
ChildEFQ28,parent_survey_child,"<b>Adapts behavior based on what is required by the situation</b> (e.g., switches characters/roles while playing a game, changes behavior based on playtime or study time).","<b>Adapts behavior based on what is required by the situation</b> (e.g., switches characters/roles while playing a game, changes behavior based on playtime or study time).","<b>Passt sein Verhalten den Erfordernissen der Situation an</b> (z. B. Wechsel der Spielfigur/Rolle während eines Spiels, Änderung des Verhaltens je nachdem ob gerade Spielzeit oder Hausaufgabenzeit ist).","<b>Passt sein Verhalten den Erfordernissen der Situation an</b> (z. B. Wechsel der Spielfigur/Rolle während eines Spiels, Änderung des Verhaltens je nachdem ob gerade Spielzeit oder Hausaufgabenzeit ist).","<b>Adapta su comportamiento en función de lo que requiere la situación</b> (p. ej., cambia de personaje o papel en un juego, cambia su comportamiento en función a que se encuentra en tiempo de juego o tiempo de estudio).","<b>Adapta su comportamiento en función de lo que requiere la situación</b> (p. ej., cambia de personaje o papel en un juego, cambia su comportamiento en función a que se encuentra en tiempo de juego o tiempo de estudio).","<b>Adapta su comportamiento en función de lo que requiere la situación</b> (p. ej., cambia de personaje o papel en un juego, cambia su comportamiento en función a que se encuentra en tiempo de juego o tiempo de estudio).","<b>Adapte son comportement en fonction de ce que la situation exige</b> (par exemple, change de personnage ou de rôle pendant un jeu, change de comportement en fonction du temps de jeu ou d'étude).","<b>Adapte son comportement en fonction de ce que la situation exige</b> (par exemple, change de personnage ou de rôle pendant un jeu, change de comportement en fonction du temps de jeu ou d'étude).","<b>Past gedrag aan op basis van wat de situatie vereist</b> (bijv., wisselt van personages/rollen tijdens het spelen van een spel, verandert gedrag gebaseerd op speeltijd of studietijd).","<b>Adapts behavior based on what is required by the situation</b> (e.g., switches characters/roles while playing a game, changes behavior based on playtime or study time).","<b>Adapta su comportamiento en función de lo que requiere la situación</b> (p. ej., cambia de personaje o papel en un juego, cambia su comportamiento en función a que se encuentra en tiempo de juego o tiempo de estudio).","<b>Adapte son comportement en fonction de ce que la situation exige</b> (par exemple, change de personnage ou de rôle pendant un jeu, change de comportement en fonction du temps de jeu ou d'étude).","<b>Passt sein Verhalten den Erfordernissen der Situation an</b> (z. B. Wechsel der Spielfigur/Rolle während eines Spiels, Änderung des Verhaltens je nachdem ob gerade Spielzeit oder Hausaufgabenzeit ist).","<b>Adapta su comportamiento en función de lo que requiere la situación</b> (p. ej., cambia de personaje o papel en un juego, cambia su comportamiento en función a que se encuentra en tiempo de juego o tiempo de estudio).","<b>Adapts behavior based on what is required by the situation</b> (e.g., switches characters/roles while playing a game, changes behavior based on playtime or study time)."
ChildEFQ34,parent_survey_child,"<b>Negotiates and incorporates peers' suggestions without conflict or resistance</b> (e.g., works with others to plan roles during pretend play, negotiates with sibling about how to complete chores together).","<b>Negotiates and incorporates peers' suggestions without conflict or resistance</b> (e.g., works with others to plan roles during pretend play, negotiates with sibling about how to complete chores together).","<b>Verhandelt und übernimmt die Vorschläge von Gleichaltrigen ohne Konflikt oder Widerstand</b> (z. B. überlegt es mit anderen zusammen, um Rollen für Rollenspiele zu planen, verhandelt mit Geschwistern über die gemeinsame Erledigung von Aufgaben).","<b>Verhandelt und übernimmt die Vorschläge von Gleichaltrigen ohne Konflikt oder Widerstand</b> (z. B. überlegt es mit anderen zusammen, um Rollen für Rollenspiele zu planen, verhandelt mit Geschwistern über die gemeinsame Erledigung von Aufgaben).","<b>Negocia con sus compañeros e incorpora sus sugerencias evitando conflicto o resistencia</b> (p. ej., trabaja con los otros para acordar los personajes que cada uno asume durante un juego de roles, negocia con un hermano cómo completar juntos las tareas del hogar).","<b>Negocia con sus compañeros e incorpora sus sugerencias evitando conflicto o resistencia</b> (p. ej., trabaja con los otros para acordar los personajes que cada uno asume durante un juego de roles, negocia con un hermano cómo completar juntos las tareas del hogar).","<b>Negocia con sus compañeros e incorpora sus sugerencias evitando conflicto o resistencia</b> (p. ej., trabaja con los otros para acordar los personajes que cada uno asume durante un juego de roles, negocia con un hermano cómo completar juntos las tareas del hogar).","<b>Négocie et intègre les suggestions de ses pairs sans conflit ou résistance</b> (par exemple, collabore avec d'autres pour planifier les rôles/routines pendant le jeu, négocie avec un frère sur la façon de réaliser ensemble les tâches ménagères).","<b>Négocie et intègre les suggestions de ses pairs sans conflit ou résistance</b> (par exemple, collabore avec d'autres pour planifier les rôles/routines pendant le jeu, négocie avec un frère sur la façon de réaliser ensemble les tâches ménagères).","<b>Onderhandelt en neemt suggesties van leeftijdgenoten over zonder conflict of weerstand</b> (bijv., werkt samen met anderen om rollen te plannen tijdens rollenspel, onderhandelt met broer of zus over hoe klusjes samen te voltooien).","<b>Negotiates and incorporates peers' suggestions without conflict or resistance</b> (e.g., works with others to plan roles during pretend play, negotiates with sibling about how to complete chores together).","<b>Negocia con sus compañeros e incorpora sus sugerencias evitando conflicto o resistencia</b> (p. ej., trabaja con los otros para acordar los personajes que cada uno asume durante un juego de roles, negocia con un hermano cómo completar juntos las tareas del hogar).","<b>Négocie et intègre les suggestions de ses pairs sans conflit ou résistance</b> (par exemple, collabore avec d'autres pour planifier les rôles/routines pendant le jeu, négocie avec un frère sur la façon de réaliser ensemble les tâches ménagères).","<b>Verhandelt und übernimmt die Vorschläge von Gleichaltrigen ohne Konflikt oder Widerstand</b> (z. B. überlegt es mit anderen zusammen, um Rollen für Rollenspiele zu planen, verhandelt mit Geschwistern über die gemeinsame Erledigung von Aufgaben).","<b>Negocia con sus compañeros e incorpora sus sugerencias evitando conflicto o resistencia</b> (p. ej., trabaja con los otros para acordar los personajes que cada uno asume durante un juego de roles, negocia con un hermano cómo completar juntos las tareas del hogar).","<b>Negotiates and incorporates peers' suggestions without conflict or resistance</b> (e.g., works with others to plan roles during pretend play, negotiates with sibling about how to complete chores together)."
CaregiverSectionIntro4,parent_survey_child,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>En esta sección se le pregunta por su entorno en el hogar.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>Cette section s'interroge sur votre environnement familial.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>Cette section s'interroge sur votre environnement familial.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>En esta sección se le pregunta por su entorno en el hogar.,<block><b><font face=Verdana size=4>This section asks about your home environment.
HomeHOME1,parent_survey_child,20 or more,20 or more,20 oder mehr,20 oder mehr,20 o más,20 o más,20 o más,20 ou plus,20 ou plus,20 of meer,20 or more,20 o más,20 ou plus,20 oder mehr,20 o más,20 or more
HomeHOME2,parent_survey_child,Never,Never,Nie,Nie,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never,Nunca,Jamais,Nie,Nunca,Never
HomeHOME3,parent_survey_child,hours per day,hours per day,Stunden pro Tag,Stunden pro Tag,horas al día,horas al día,horas al día,heures par jour,heures par jour,uren per dag,hours per day,horas al día,heures par jour,Stunden pro Tag,horas al día,hours per day
HomeHOME4,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME5,parent_survey_child,Once a year or less,Once a year or less,Einmal im Jahr oder weniger,Einmal im Jahr oder weniger,Una vez al año o menos,Una vez al año o menos,Una vez al año o menos,Une fois par an ou moins,Une fois par an ou moins,Één keer per jaar of minder,Once a year or less,Una vez al año o menos,Une fois par an ou moins,Einmal im Jahr oder weniger,Una vez al año o menos,Once a year or less
HomeHOME6,parent_survey_child,Never,Never,Nie,Nie,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never,Nunca,Jamais,Nie,Nunca,Never
HomeHOME7,parent_survey_child,Never,Never,Nie,Nie,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never,Nunca,Jamais,Nie,Nunca,Never
HomeHOME9,parent_survey_child,Hardly ever,Hardly ever,Kaum jemals,Kaum jemals,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Hardly ever,Casi nunca,Presque jamais,Kaum jemals,Casi nunca,Hardly ever
HomeHOME15,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME23,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME22,parent_survey_child,Never,Never,Nie,Nie,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never,Nunca,Jamais,Nie,Nunca,Never
HomeHOME24,parent_survey_child,"Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","A veces los niños(as) se enfadan tanto con sus padres que dicen cosas como te odio o dicen palabrotas en medio de un rabieta. Si su niño(a) le dijera te odio o le ofendiera, usted...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Parfois, les enfants se mettent tellement en colère contre leurs parents qu'ils disent des choses comme Je te déteste ou profèrent des jurons lors d'une crise de colère. Si votre enfant disait quelque chose comme Je te déteste ou vous insultait, vous...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Parfois, les enfants se mettent tellement en colère contre leurs parents qu'ils disent des choses comme Je te déteste ou profèrent des jurons lors d'une crise de colère. Si votre enfant disait quelque chose comme Je te déteste ou vous insultait, vous...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","A veces los niños(as) se enfadan tanto con sus padres que dicen cosas como te odio o dicen palabrotas en medio de un rabieta. Si su niño(a) le dijera te odio o le ofendiera, usted...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you..."
HomeHOME24a,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME24b,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME24c,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME24d,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME24e,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
